model,dataset,image_id,image_path,true_label,true_label_name,subtype,pred_label,pred_label_name,confidence
efficientnet_v2_s,natural_gallery,0,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\0b5339d06b77c35846b530241dea78e0-hi.png,0,airplane,abstract,696,paintbrush,0.2021021544933319
efficientnet_v2_s,natural_gallery,1,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\1000_F_567598988_swwHpnmTEBkccJN06fGj6erEi6HmccKw.png,0,airplane,abstract,404,airliner,0.7372588515281677
efficientnet_v2_s,natural_gallery,2,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\10131085-HIXOVUFI-7.png,0,airplane,abstract,799,sliding door,0.42966848611831665
efficientnet_v2_s,natural_gallery,3,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\17633647_2_425976236-3937377533150729-1560384486696904830-n.png,0,airplane,abstract,583,guillotine,0.09488940984010696
efficientnet_v2_s,natural_gallery,4,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\20186686.png,0,airplane,abstract,327,starfish,0.2825414836406708
efficientnet_v2_s,natural_gallery,5,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\2495203 2x3 202057-Canvas Wall Art-800x800.png,0,airplane,abstract,456,bow,0.2133481353521347
efficientnet_v2_s,natural_gallery,6,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\360_F_364340472_Vf46lZib2mxWnT452XlgVgd3TnN1YcDt.png,0,airplane,abstract,812,space shuttle,0.3025231659412384
efficientnet_v2_s,natural_gallery,7,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\40753897.png,0,airplane,abstract,456,bow,0.5191514492034912
efficientnet_v2_s,natural_gallery,8,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\5-panels-yellow-aircraft-canvas-art.png,0,airplane,abstract,894,wardrobe,0.2148071825504303
efficientnet_v2_s,natural_gallery,9,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\5f89d677-76d9-4ea1-b988-e6e8b84c16cc.png,0,airplane,abstract,895,warplane,0.7941362857818604
efficientnet_v2_s,natural_gallery,10,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\6c0349e895e6467d8d6facdc72413039-goods.png,0,airplane,abstract,611,jigsaw puzzle,0.1143118292093277
efficientnet_v2_s,natural_gallery,11,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\7eddd4a4e5144dc085ff7bf579e3a76a-goods.png,0,airplane,abstract,598,home theater,0.25815466046333313
efficientnet_v2_s,natural_gallery,12,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\7FTHAM-34448D-0101S-hero-WEB.png,0,airplane,abstract,446,binder,0.7179484963417053
efficientnet_v2_s,natural_gallery,13,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\80a7338afb08bfa16828d871444bb5a0.png,0,airplane,abstract,417,balloon,0.08407091349363327
efficientnet_v2_s,natural_gallery,14,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\81BdqkhAM2L.png,0,airplane,abstract,404,airliner,0.6973987817764282
efficientnet_v2_s,natural_gallery,15,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\9242805-YXHPDUCB-32.png,0,airplane,abstract,895,warplane,0.5505530834197998
efficientnet_v2_s,natural_gallery,16,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\958709-HSC00001-7.png,0,airplane,abstract,913,wreck,0.6765804290771484
efficientnet_v2_s,natural_gallery,17,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\ab7da004aa80f057155b2338011571f4.png,0,airplane,abstract,567,frying pan,0.18575456738471985
efficientnet_v2_s,natural_gallery,18,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\abstract-airplane-transportation-background-illustration-free-vector.png,0,airplane,abstract,404,airliner,0.4870818853378296
efficientnet_v2_s,natural_gallery,19,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\abstract-airplane-watercolor-art-vector-4600974.png,0,airplane,abstract,908,wing,0.11410096287727356
efficientnet_v2_s,natural_gallery,20,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\abstract-colorful-beautiful-high-angle-view-from-the-capitals-aircraft-on-watercolor-illustration-painting-background-2A0PD4H.png,0,airplane,abstract,908,wing,0.7663514614105225
efficientnet_v2_s,natural_gallery,21,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\abstract-cubist-airplanes_u-l-q1k1nln0.png,0,airplane,abstract,921,book jacket,0.2086917757987976
efficientnet_v2_s,natural_gallery,22,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\aerobatic-aircraft-multi-panel-canvas-wall-art-2-347511.png,0,airplane,abstract,831,studio couch,0.6546697616577148
efficientnet_v2_s,natural_gallery,23,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\aircraft-airplane-flying-multi-panel-canvas-wall-art-3-horizontal-medium-gallery-wrap-tiaracle-3_1200x.png,0,airplane,abstract,831,studio couch,0.7255995869636536
efficientnet_v2_s,natural_gallery,24,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\airplane+collision.png,0,airplane,abstract,892,wall clock,0.4467009902000427
efficientnet_v2_s,natural_gallery,25,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\Airplane+V7.png,0,airplane,abstract,904,window screen,0.2989840805530548
