model,dataset,axis,transform,level,image_id,true_label,true_label_name,pred_label,pred_label_name,confidence,correct
yolo26n_cls,cifar10,appearance,pixelate,0,0,3,cat,1,automobile,0.9504482746124268,0
yolo26n_cls,cifar10,appearance,pixelate,0,1,8,ship,1,automobile,1.0,0
yolo26n_cls,cifar10,appearance,pixelate,0,2,8,ship,1,automobile,0.9999891519546509,0
yolo26n_cls,cifar10,appearance,pixelate,0,3,0,airplane,1,automobile,0.9999066591262817,0
yolo26n_cls,cifar10,appearance,pixelate,0,4,6,frog,4,deer,0.8405197262763977,0
yolo26n_cls,cifar10,appearance,pixelate,0,5,6,frog,4,deer,0.9680539965629578,0
yolo26n_cls,cifar10,appearance,pixelate,0,6,1,automobile,1,automobile,0.9999995231628418,1
yolo26n_cls,cifar10,appearance,pixelate,0,7,6,frog,1,automobile,0.9899001717567444,0
yolo26n_cls,cifar10,appearance,pixelate,0,8,3,cat,4,deer,0.9442669749259949,0
yolo26n_cls,cifar10,appearance,pixelate,0,9,1,automobile,1,automobile,0.9999477863311768,1
yolo26n_cls,cifar10,appearance,pixelate,0,10,0,airplane,1,automobile,0.36991122364997864,0
yolo26n_cls,cifar10,appearance,pixelate,0,11,9,truck,1,automobile,0.9999780654907227,0
yolo26n_cls,cifar10,appearance,pixelate,0,12,5,dog,1,automobile,0.7971217036247253,0
yolo26n_cls,cifar10,appearance,pixelate,0,13,7,horse,1,automobile,0.9958434700965881,0
yolo26n_cls,cifar10,appearance,pixelate,0,14,9,truck,1,automobile,0.9999653100967407,0
yolo26n_cls,cifar10,appearance,pixelate,0,15,8,ship,1,automobile,0.6400102376937866,0
yolo26n_cls,cifar10,appearance,pixelate,0,16,5,dog,3,cat,0.47425615787506104,0
yolo26n_cls,cifar10,appearance,pixelate,0,17,7,horse,1,automobile,0.997543215751648,0
yolo26n_cls,cifar10,appearance,pixelate,0,18,8,ship,1,automobile,0.9876225590705872,0
yolo26n_cls,cifar10,appearance,pixelate,0,19,6,frog,1,automobile,0.9982370138168335,0
yolo26n_cls,cifar10,appearance,pixelate,0,20,7,horse,1,automobile,0.9996962547302246,0
yolo26n_cls,cifar10,appearance,pixelate,0,21,0,airplane,1,automobile,0.5633314251899719,0
yolo26n_cls,cifar10,appearance,pixelate,0,22,4,deer,4,deer,0.4762429893016815,1
yolo26n_cls,cifar10,appearance,pixelate,0,23,9,truck,1,automobile,1.0,0
