image_id,image_path,true_label,true_label_name,subtype,cosine_similarity_to_cifar_prototype,drift_from_cifar_prototype
0,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\0b5339d06b77c35846b530241dea78e0-hi.png,0,airplane,abstract,0.35672658681869507,0.6432734131813049
1,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\1000_F_567598988_swwHpnmTEBkccJN06fGj6erEi6HmccKw.png,0,airplane,abstract,0.2619078755378723,0.7380921244621277
2,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\10131085-HIXOVUFI-7.png,0,airplane,abstract,0.14977434277534485,0.8502256572246552
3,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\17633647_2_425976236-3937377533150729-1560384486696904830-n.png,0,airplane,abstract,0.37575340270996094,0.6242465972900391
4,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\20186686.png,0,airplane,abstract,0.320012629032135,0.679987370967865
5,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\2495203 2x3 202057-Canvas Wall Art-800x800.png,0,airplane,abstract,0.18492759764194489,0.8150724023580551
6,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\360_F_364340472_Vf46lZib2mxWnT452XlgVgd3TnN1YcDt.png,0,airplane,abstract,0.24628913402557373,0.7537108659744263
7,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\40753897.png,0,airplane,abstract,0.39524009823799133,0.6047599017620087
8,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\5-panels-yellow-aircraft-canvas-art.png,0,airplane,abstract,0.3452911376953125,0.6547088623046875
9,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\5f89d677-76d9-4ea1-b988-e6e8b84c16cc.png,0,airplane,abstract,0.5006387233734131,0.4993612766265869
10,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\6c0349e895e6467d8d6facdc72413039-goods.png,0,airplane,abstract,0.2538113296031952,0.7461886703968048
11,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\7eddd4a4e5144dc085ff7bf579e3a76a-goods.png,0,airplane,abstract,0.419400155544281,0.580599844455719
12,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\7FTHAM-34448D-0101S-hero-WEB.png,0,airplane,abstract,0.14329950511455536,0.8567004948854446
13,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\80a7338afb08bfa16828d871444bb5a0.png,0,airplane,abstract,0.19748929142951965,0.8025107085704803
14,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\81BdqkhAM2L.png,0,airplane,abstract,0.2824344038963318,0.7175655961036682
15,C:\Users\Melvi\Downloads\research_seminar\vision_abstraction_project\filtered\airplane\abstract\9242805-YXHPDUCB-32.png,0,airplane,abstract,0.4285717010498047,0.5714282989501953
