true_label_name,mean_cosine_similarity,mean_drift,n
airplane,0.5504009471878389,0.449599052812161,767
automobile,0.45797490248616957,0.5420250975138304,755
bird,0.5165531600373132,0.48344683996268684,700
cat,0.5302874870851737,0.4697125129148263,735
deer,0.556171905946347,0.443828094053653,620
dog,0.5365882109969463,0.4634117890030537,533
frog,0.4952373796405683,0.5047626203594316,524
horse,0.6035226075365991,0.3964773924634008,505
ship,0.5378236736877855,0.4621763263122145,415
truck,0.5241165169313842,0.4758834830686158,510
