true_label_name,accuracy,mean_confidence,n
airplane,0.9326923076923077,0.11078631223585357,312
automobile,0.7464387464387464,0.10906433761968908,351
bird,0.9479553903345725,0.11160495068504017,269
cat,0.6482213438735178,0.10992292420784,253
deer,0.9847328244274809,0.11390133492136725,131
dog,0.7131782945736435,0.10801698238581646,258
frog,0.952,0.11248037707805629,250
horse,0.9966666666666667,0.11294103751579916,300
ship,1.0,0.1153048953076578,106
truck,0.9714285714285714,0.11358947860343112,35
