true_label_name,accuracy,mean_confidence,n
airplane,0.9137931034482759,0.9345548273674373,116.0
automobile,0.9385964912280702,0.9519234477427968,114.0
bird,0.9150943396226415,0.9574013743198143,106.0
cat,0.9459459459459459,0.9716656506061554,111.0
deer,0.9354838709677419,0.9797004717652515,93.0
dog,0.9753086419753086,0.9681271631040691,81.0
frog,1.0,0.9952256388962268,80.0
horse,0.948051948051948,0.9702033930784696,77.0
ship,0.9615384615384616,0.9729136740550016,78.0
truck,0.922077922077922,0.975912313956719,77.0
