true_label_name,subtype,accuracy,mean_confidence,n
airplane,abstract,0.8,0.9036435055732727,25.0
airplane,cartoon,0.875,0.9195916280150414,8.0
airplane,painting,1.0,0.9910240103216732,17.0
airplane,real,0.9615384615384616,0.9392132289134539,52.0
airplane,sketch,0.8571428571428571,0.9124316594430378,14.0
automobile,abstract,1.0,0.9497852673133215,12.0
automobile,cartoon,1.0,0.9920667757590612,24.0
automobile,painting,1.0,0.9863126476605734,9.0
automobile,real,0.8928571428571429,0.9351774496691567,56.0
automobile,sketch,0.9230769230769231,0.9281150927910438,13.0
bird,abstract,0.7647058823529411,0.8922365588300368,17.0
bird,cartoon,1.0,0.9957874729519799,21.0
bird,painting,1.0,0.9833410866558552,16.0
bird,real,0.9230769230769231,0.9541859527428945,39.0
bird,sketch,0.8461538461538461,0.9583290540255033,13.0
cat,abstract,0.9090909090909091,0.9419844177636233,22.0
cat,cartoon,1.0,0.9964570075273513,20.0
cat,painting,0.9473684210526315,0.9783443871297335,19.0
cat,real,0.9285714285714286,0.9644409215876034,28.0
cat,sketch,0.9545454545454546,0.9822363961826671,22.0
deer,abstract,0.8333333333333334,0.9401812851428986,18.0
deer,cartoon,0.95,0.9795964360237122,20.0
deer,painting,1.0,0.9997645206749439,16.0
deer,real,0.9047619047619048,0.9811941527184986,21.0
deer,sketch,1.0,0.9997579157352448,18.0
dog,abstract,1.0,0.9867103099822998,15.0
dog,cartoon,1.0,0.9962853391965231,18.0
dog,painting,0.9,0.9874856889247894,10.0
dog,real,1.0,0.9772756278514863,20.0
dog,sketch,0.9444444444444444,0.9035633338822259,18.0
frog,abstract,1.0,0.9995603481928508,15.0
frog,cartoon,1.0,0.9990600188573201,15.0
frog,painting,1.0,0.991204487650018,19.0
frog,real,1.0,0.9908185714767093,21.0
frog,sketch,1.0,0.999867033958435,10.0
horse,abstract,0.9333333333333333,0.9640390078226725,15.0
horse,cartoon,0.9166666666666666,0.9551822816332182,12.0
horse,painting,0.8666666666666667,0.9350939949353536,15.0
horse,real,1.0,0.9980424106121063,20.0
horse,sketch,1.0,0.9863753755887349,15.0
ship,abstract,0.8888888888888888,0.9701604975594414,9.0
ship,cartoon,0.8,0.8560539245605469,10.0
ship,painting,1.0,0.9998622693513569,19.0
ship,real,1.0,0.9777562386459775,18.0
ship,sketch,1.0,0.9999221563339233,22.0
truck,abstract,1.0,0.9938925092036908,13.0
truck,cartoon,0.85,0.9502737790346145,20.0
truck,painting,0.8235294117647058,0.956208677852855,17.0
truck,real,1.0,0.9993531852960587,12.0
truck,sketch,1.0,0.9980922818183899,15.0
