transform,level,accuracy,macro_f1,mean_confidence,n
rotate,0,0.2015,0.14260928401232534,0.8759915836751461,2000.0
rotate,1,0.1915,0.11298946046358156,0.786351911470294,2000.0
rotate,2,0.1545,0.08662827035105188,0.756506281465292,2000.0
rotate,3,0.156,0.08950965538892522,0.8189798239022493,2000.0
shear_x,0,0.2015,0.14260928401232534,0.8759915836751461,2000.0
shear_x,1,0.193,0.1428640230544822,0.8619200866967439,2000.0
shear_x,2,0.182,0.13389596376936092,0.8693686873391271,2000.0
shear_x,3,0.1735,0.12612674738793445,0.868612276315689,2000.0
translate,0,0.2015,0.14260928401232534,0.8759915836751461,2000.0
translate,1,0.207,0.14486957398980466,0.8624998666197061,2000.0
translate,2,0.207,0.1388648190715939,0.8584775834977627,2000.0
translate,3,0.2015,0.12833499658558303,0.8454264755398035,2000.0
