model,dataset,axis,transform,level,accuracy,mean_confidence,n
openclip_vit_b_32,cifar10,geometry,rotate,0,0.8885,0.11056742726638909,2000
openclip_vit_b_32,cifar10,geometry,rotate,1,0.66,0.1064194957464933,2000
openclip_vit_b_32,cifar10,geometry,rotate,2,0.433,0.10456790770217772,2000
openclip_vit_b_32,cifar10,geometry,rotate,3,0.5115,0.10515028019249435,2000
openclip_vit_b_32,cifar10,geometry,shear_x,0,0.8885,0.11056742726638909,2000
openclip_vit_b_32,cifar10,geometry,shear_x,1,0.871,0.10962519851326938,2000
openclip_vit_b_32,cifar10,geometry,shear_x,2,0.8445,0.10906683608889575,2000
openclip_vit_b_32,cifar10,geometry,shear_x,3,0.7945,0.10839337385445828,2000
openclip_vit_b_32,cifar10,geometry,translate,0,0.8885,0.11056742726638909,2000
openclip_vit_b_32,cifar10,geometry,translate,1,0.869,0.11012604173272844,2000
openclip_vit_b_32,cifar10,geometry,translate,2,0.825,0.10932645239681,2000
openclip_vit_b_32,cifar10,geometry,translate,3,0.7835,0.10844923042505976,2000
